event,timestamp_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps
imu_data,13390,-1.82,-10.08,9.54,7.31,-2.25,-160.06
imu_data,13440,-1.28,-5.42,9.63,6.44,3.62,130.94
imu_data,13489,1.78,-5.67,9.70,0.38,3.44,393.00
imu_data,13539,3.41,3.40,9.27,-4.81,3.88,397.94
imu_data,13589,1.01,5.32,9.42,-2.44,1.31,41.50
imu_data,13639,1.17,3.17,9.45,-6.25,-0.06,-180.88
imu_data,13689,0.75,-2.15,9.62,5.50,-1.44,-294.25
imu_data,13739,-0.05,-7.58,9.50,-1.38,-0.81,-276.19
imu_data,13789,-4.47,-12.09,9.58,4.81,0.88,82.38
imu_data,13839,2.71,-2.89,9.45,-2.12,2.94,401.62
imu_data,13889,6.25,8.55,9.38,-5.88,1.69,332.19
imu_data,13939,3.75,7.73,9.45,-1.12,2.38,-33.25
imu_data,13990,3.97,6.40,9.41,0.62,-0.44,-249.94
imu_data,14039,2.69,-2.94,9.54,2.75,-2.38,-381.44
imu_data,14089,-1.13,-15.65,9.53,7.81,-1.19,-290.50
imu_data,14139,-0.27,-13.54,9.61,3.38,2.19,241.12
imu_data,14189,1.68,-3.31,9.58,-1.19,2.88,374.12
imu_data,14239,5.65,7.49,9.33,-4.06,1.69,289.62
imu_data,14289,5.38,9.84,9.25,-7.00,1.50,-21.38
imu_data,14339,4.76,7.26,9.54,1.62,0.00,-242.75
imu_data,14389,1.19,-5.16,9.50,3.25,-0.25,-303.00
imu_data,14439,-2.45,-20.44,9.65,1.94,-0.62,-234.06
imu_data,14490,-3.66,-16.63,9.66,4.44,2.44,108.81
imu_data,14540,0.37,-5.91,9.49,-9.25,0.62,216.69
imu_data,14591,5.70,10.06,9.34,0.00,0.12,247.25
imu_data,14642,2.72,8.35,9.53,-14.94,2.06,-72.44
imu_data,14693,3.14,6.72,9.50,10.69,-0.88,-160.06
imu_data,14743,0.93,-5.03,9.37,-0.25,-0.69,-236.75
imu_data,14793,-3.57,-21.20,9.59,1.81,-0.69,-146.81
imu_data,14842,-1.47,-15.77,9.61,1.56,2.06,105.06
imu_data,14889,2.31,-1.74,9.65,-10.31,0.81,225.56
imu_data,14939,6.72,15.58,9.25,1.81,0.44,208.56
imu_data,14989,8.92,20.76,9.76,-14.56,2.19,-45.44
imu_data,15039,3.88,4.78,9.49,3.50,0.12,-220.75
imu_data,15090,0.77,-9.11,9.49,3.06,-0.19,-271.56
imu_data,15141,-1.57,-16.16,9.50,13.19,-1.12,-18.56
imu_data,15192,-0.17,-11.01,9.47,-1.44,1.62,243.38
imu_data,15242,3.79,4.38,9.46,-7.38,1.25,274.69
imu_data,15293,7.42,21.67,9.35,3.50,0.06,157.44
imu_data,15343,6.38,13.35,9.12,-2.75,0.50,-140.56
imu_data,15393,4.11,-4.03,9.35,7.94,-1.00,-323.50
imu_data,15439,-2.45,-28.63,9.66,2.31,-1.00,-276.19
imu_data,15489,-0.32,-18.78,9.80,1.19,2.44,130.44
imu_data,15539,4.03,0.01,9.34,-8.44,1.44,319.62
imu_data,15589,8.08,19.88,9.25,-0.75,0.50,289.50
imu_data,15640,7.70,17.48,9.21,-8.00,1.81,-94.88
imu_data,15691,2.88,1.21,9.48,3.31,0.81,-243.88
imu_data,15742,-2.18,-12.68,9.67,5.62,-1.31,-232.81
imu_data,15792,-2.82,-9.43,9.55,3.00,-2.12,-51.38
